time,smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
26.02428794,100,0,99.92,100,0,99.93,-7.17,4.72,4.96
26.25166702,100,0.04,99.93,99.92,0.01,99.93,-7.33,6.31,8.92
26.48049784,100,0.05,99.93,99.91,0.01,99.93,-6.53,5.44,9.05
26.71914387,100,0.03,99.93,98.92,0.01,99.92,-6.56,7.03,6.97
26.95153499,100,0,99.93,99.74,0.01,99.93,-6.36,6.94,7.59
27.18405795,100,0,99.93,99.98,0.01,99.93,-3.93,5.95,4.29
27.41889596,100,0,99.93,99.99,0.01,99.93,-3.06,7.4,5.04
27.65176892,100,0,99.93,99.98,0.01,99.93,-4.38,6.38,4.66
27.885782,100,0,99.93,99.99,0,99.93,-5.31,9.63,2.75
28.11945796,100,0.05,99.93,100,0,99.93,-14.02,13.71,-1.77
28.35339785,99.99,0.09,99.93,97.04,0.01,99.88,-12.12,17.25,-4.35
28.5845418,99.98,0.09,99.93,75.88,0,94.72,-11.68,16.17,-6.24
28.81916285,99.96,0.09,99.93,0,0,0,-12.43,15.9,-2.81
29.05724382,99.91,0.09,99.93,99.97,0.01,99.93,-18.07,15.07,2.14
29.286412,99.91,0.08,99.93,0,0,0,-18.28,15.51,7.43
29.52414513,99.95,0.08,99.93,0,0,0,-18.61,11.65,7.64
29.75908184,99.96,0.07,99.93,0,0,0,-20.45,11.58,8.32
29.99152398,99.97,0.05,99.93,0,0,0,-18.76,8.62,9.43
30.22549105,99.98,0.06,99.93,0,0,0,-13.91,10.32,8.78
30.4598,99.98,0.09,99.93,99.6,0.01,99.93,-18.62,8.97,12.1
30.68682098,99.97,0.09,99.93,0,0,0,-15.64,6.47,12.73
30.92470002,99.95,0.09,99.93,0,0,0,-16.66,13.72,15.43
31.17412806,99.9,0.12,99.93,97.78,0.01,99.9,-17.37,9.77,13.01
31.38122892,99.87,0.09,99.93,99.97,0,99.93,-20.48,2.06,11.11
31.61953402,99.88,0.08,99.93,99.99,0,99.93,-21.84,3.13,4.76
31.85300303,99.85,0.07,99.93,100,0,99.93,-23.24,4.51,0.41
32.08680701,99.95,0.08,99.93,99.89,0,99.93,-22.19,4.51,-9.21
32.32000899,99.98,0.08,99.93,99.91,0,99.93,-25.4,-2.57,9.36
32.55249,99.98,0.07,99.93,99.97,0,99.93,-27.56,-0.66,7.62
32.78726792,99.99,0.07,99.93,99.52,0,99.92,-26.55,-2.11,10.05
33.01827192,99.99,0.08,99.93,99.85,0,99.93,-25.17,-3.9,10.75
33.253304,99.99,0.07,99.93,99.94,0,99.93,-23.09,3.64,3.28
33.48504114,99.99,0.06,99.93,99.98,0,99.93,-20.67,7.82,-2.35
33.71977091,99.99,0.05,99.93,100,0.01,99.93,-16.04,12.21,-5.42
33.95136309,100,0.02,99.93,99.91,0,99.93,-7.66,15.43,-7.55
34.18516779,100,0.02,99.93,100,0,99.93,-10.89,14.9,-4.07
34.41926479,100,0.01,99.93,96.16,0,99.86,-7.64,17.85,-14.55
34.6536808,100,0.02,99.91,98.96,0.01,99.92,-15.93,15.36,-3.64
34.8837409,99.99,0.02,99.91,0,0,0,-15.99,14.38,-10.73
35.12611794,99.94,0.04,99.92,0,0,0,-21.37,22.91,-37.7
35.35819912,99.76,0.1,99.92,0,0,0,-16.76,16.94,-23.83
35.59873796,97.87,0.08,99.9,0,0,0,-22.93,17.69,-43.07
35.82445002,94.72,0.01,99.72,0.7,13.34,0,-8.87,24.87,-15.94
36.05004597,82.71,0.06,95.88,43.28,0.02,4.56,3.09,-0.46,-12.65
36.28737998,38.27,0.1,0.73,0,0,0,-3.44,13.56,20.74
36.52138495,1.45,0.03,0,2.75,19.17,0,-14.07,17.52,1.71
36.75095296,0,0,0,0,0,0,-8.98,35.1,10.64
36.98523283,0,0.41,0,99.42,0.01,99.92,-6.78,16.35,-0.04
37.21799612,0,0.24,0,99.97,0,99.93,-7.28,5.09,-0.73
37.45152593,0.01,0.14,0,99.99,0,99.93,-3.6,2.36,-5.61
37.6834569,0.81,0,0,100,0,99.93,-5.69,12.64,-2.73
37.91914988,33.84,0.01,2.06,90.83,0.04,99.62,-9.07,9.47,2.88
38.15251493,98.41,0.02,99.91,98.58,0.01,99.91,-15.18,11.03,1.98
38.385674,99.91,0.03,99.93,0,0,0,-14.47,9.65,5.57
38.622154,99.98,0.03,99.93,99.98,0.01,99.93,-14.5,8.13,2.87
38.85265994,99.99,0.03,99.93,97.77,0.01,99.9,-13.19,10.34,6.02
39.08491182,100,0.03,99.93,99.69,0.01,99.93,-13.01,8.75,5.91
39.31806803,100,0.04,99.93,0,0,0,-13.56,7.66,7.91
39.55743408,100,0.04,99.93,0,0,0,-14.45,6.1,8.94
39.7797389,99.99,0.05,99.93,84.29,0.03,98.81,-17.48,3.73,16.22
40.02178907,99.99,0.07,99.93,99.99,0,99.93,-21.41,2.9,7.16
40.25100493,99.99,0.07,99.93,100,0,99.93,-19.08,1.02,6.54
40.48291683,99.99,0.08,99.93,99.87,0,99.93,-18.86,1.73,10.52
40.71335196,99.99,0.07,99.93,99.95,0,99.93,-16.78,-0.29,11.9
40.95089006,100,0.07,99.93,96.71,0,99.87,-14.55,0.89,7.32
41.18553495,100,0.06,99.93,99.67,0,99.93,-15.57,3.72,7.85
41.41876888,100,0.04,99.93,99.93,0,99.93,-12.54,1.05,7.55
41.64700699,100,0.02,99.93,99.91,0,99.93,-9.92,2.29,8.63
41.88759899,100,0.02,99.93,99.96,0,99.93,-11.11,1.21,8.27
42.11763597,100,0.02,99.93,100,0,99.93,-13.89,-0.84,12.92
42.35112286,100,0.02,99.93,99.98,0,99.93,-13.19,-3.5,9.24
42.58292699,99.99,0.02,99.93,100,0,99.93,-13.51,-3.5,8.62
42.820755,99.99,0.02,99.93,99.99,0,99.93,-12.79,-3.54,8.41
43.05244112,99.98,0.01,99.93,99.92,0,99.93,-8.12,-1.2,5.56
43.28580284,99.96,0.01,99.93,99.84,0,99.93,-5.75,-0.03,4.28
43.51718903,99.88,0,99.93,27.54,0.06,0.27,-5.47,3.18,1.85
43.75411892,99.38,0,99.91,81.6,0,98.07,-3.82,1.09,2.14
43.98747206,97.3,0,99.77,0,0,0,-4.87,2.71,2.61
44.2220149,91.77,0,99.19,16.4,0.13,0.04,-4.34,2.16,4.45
44.4527359,79.6,0.01,94.87,38.6,0.03,2,-4.93,0.51,4.6
44.68465281,72.69,0.02,86.81,12,0.18,0.02,-5.61,0.13,4.52
44.91908407,81.59,0.01,97.27,40.12,0.02,2.62,-5.81,0.04,4.66
45.15188789,81.27,0.01,96.14,48.87,0.01,11.66,-5.34,0.69,3.91
45.38456392,68.42,0.01,63.15,1.46,0.38,0,-8.88,7,0.05
45.61848307,58.26,0.01,20.65,0.19,0.42,0,-6.69,7.16,4.2
45.85165095,6.38,0.08,0.01,0,0.43,0,-9.22,2.74,11.37
46.08369899,1.53,0.26,0,0.03,0.45,0,-8,2.92,11.1
46.31822801,0.46,0.35,0,2.65,0.35,0,-7.78,6.07,9.3
46.55245113,0.21,0.36,0,1.95,0.37,0,-7.6,7.46,8.39
46.78506994,0.09,0.35,0,15.87,0.13,0.03,-7.22,6.75,10.01
47.01960492,0.68,0.33,0,7.48,0.25,0.01,-8.19,5.12,9.86
47.25310898,1.09,0.3,0,0.15,0.45,0,-6.79,4.98,9.39
47.48685598,1.14,0.12,0,6.9,3.67,0.01,-7.48,6.68,9.46
47.71790695,2.97,0.05,0,0.15,0.42,0,-5.88,5.64,9.93
47.95312881,7.73,0.02,0.01,0.11,0.47,0,-9.11,6.42,10.52
48.18618393,9.08,0.03,0.01,1.53,1.14,0,-9.61,5.91,9.72
48.41887808,6.03,0.03,0,1.63,0.38,0,-9.69,5.31,9.23
48.65208697,5.78,0.04,0,2.17,0.39,0,-3.75,6.62,6.02
48.88525701,1.6,0.26,0,16.18,0.13,0.03,-1.34,7.41,-2.08
49.11856294,0.37,0.41,0,15.94,0.13,0.03,-0.91,8.36,0.04
49.35308099,0.19,0.42,0,0,0.43,0,-3.66,5.68,2.47
49.5860281,0.21,0.43,0,14.86,0.14,0.03,-4.58,8.5,-0.39
49.819556,0.15,0.43,0,0,0,0,-5.9,9.2,-1.11
50.05765796,0.24,0.43,0,38.94,0.03,2.13,-6.15,11.85,-0.13
50.28555107,0.55,0.42,0,0,0,0,-5.78,9.89,-1.1
50.52393699,0.82,0.41,0,0.03,0.42,0,-4.59,11.65,-0.36
50.7530489,1.52,0.41,0,18.81,0.1,0.06,-4.99,9.61,1.94
50.98418498,1.52,0.38,0,1.16,0.39,0,-5.18,3.92,4.58
51.21895981,2.04,0.38,0,0.03,0.45,0,-6.2,3.23,3.7
51.45234203,1.39,0.4,0,0.04,0.42,0,-7.96,3.44,4.26
51.68489099,2.02,0.4,0,0.02,0.41,0,-8.64,2.59,2.8
51.91655302,0.84,0.38,0,0.06,0.4,0,-8.76,2.07,3.35
52.14555001,1,0.42,0,0,0.43,0,-7.64,3.19,2.88
52.38797808,0.79,0.43,0,0.01,0.41,0,-6.93,3.44,2.66
52.61816883,1.23,0.43,0,0.01,0.43,0,-9.88,3.03,3.04
52.85204196,0.62,0.45,0,0,0.42,0,-9.69,2.6,2.88
53.0848031,0.38,0.44,0,0.02,0.08,0,-8.82,1.6,3.21
53.31922388,0.31,0.44,0,0,0.42,0,-9.37,1.79,4.02
53.55029011,0.18,0.47,0,0,0.42,0,-10.01,1.98,5.44
53.78615499,0.09,0.48,0,0,0.43,0,-9.93,1,4.92
54.018435,0.06,0.5,0,0.01,0.43,0,-9.57,2.67,5.14
54.2522459,0.08,0.53,0,0,0.43,0,-10.89,1.04,4.38
54.48457193,0.07,0.54,0,0,0.37,0,-10.72,1.87,3.97
54.7194519,0.08,0.48,0,0,0.43,0,-10.23,3.68,4.69
54.95038295,0.08,0.48,0,0.01,0.19,0,-11.14,3.91,4.88
55.18382001,0.08,0.41,0,0,0.25,0,-10.75,3.33,4.41
55.41875505,0.07,0.27,0,0.01,0.43,0,-9.32,5.13,4.85
55.65265393,0.11,0.38,0,0,0.26,0,-10.45,4.07,3.56
55.88551283,0.13,0.45,0,0,0.13,0,-10.35,4.86,3.39
56.11831498,0.12,0.45,0,0,0.36,0,-11.95,3.58,3.36
56.35057497,0.18,0.42,0,0,0.2,0,-13.23,3.41,3.18
56.58575797,0.23,0.41,0,0,0.43,0,-13.72,3.56,4.85
56.81826997,0.16,0.42,0,0,0.4,0,-12.27,4.8,4.4
57.05095792,0.12,0.42,0,0,0.43,0,-11.28,5.16,3.56
57.28441095,0.15,0.42,0,0,0.42,0,-12.5,4.99,3.99
57.51791906,0.13,0.42,0,0,0.43,0,-9.93,1.94,3.68
57.75214005,0.11,0.44,0,0,0.42,0,-9.11,3.64,3.69
57.98001814,0.15,0.45,0,0.01,0.42,0,-10.5,3.2,3.54
58.21861506,0.24,0.44,0,0,0.43,0,-10.99,3.94,2.41
58.4519968,0.31,0.43,0,0,0.42,0,-10.37,4.7,1.6
58.68488503,0.17,0.43,0,0,0.43,0,-11.05,5.05,2.47
58.91683197,0.13,0.46,0,0.01,0.44,0,-9.08,7.33,2.38
59.15296698,0.14,0.46,0,0,0.38,0,-9.65,5.37,1.45
59.38323593,0.13,0.48,0,0,0.43,0,-9.54,3.72,3.05
59.61877012,0.16,0.46,0,0,0.12,0,-10.4,4.31,3.08
59.83800292,0.41,0.44,0,0,0.43,0,-10.29,3.79,4.81
60.38012695,0.77,0.41,0,0,0.43,0,-11.19,2.49,4.93
60.47086596,1.05,0.4,0,0,0.43,0,-8.56,-2.75,5.4
129.412051,98.03,0.05,99.9,82.54,11.79,97.56,-12.92,11.28,7.51
129.615927,99.81,0.01,99.93,99.88,0,99.93,-12.7,8.79,4.24
129.868381,99.91,0.01,99.93,99.99,0,99.93,-11.57,5.3,5.2
130.101253,99.96,0.01,99.93,100,0,99.93,-14.54,5.28,6.44
130.3295941,99.97,0.01,99.93,100,0,99.93,-15.75,4.31,6.69
130.5694108,99.99,0.01,99.93,99.99,0.01,99.93,-14.66,8.33,5.82
130.799067,99.99,0.02,99.93,99.98,0,99.93,-18.41,8.62,2.31
131.0355401,99.99,0.02,99.93,99.81,0,99.93,-20.86,9.19,-0.07
