smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
99.18,0,99.89,74.74,0.01,93.57,-12.09,4.58,-2.24
99.52,0.01,99.92,95.27,0,99.84,-13.07,4.18,-1.63
99.65,0.01,99.93,99.16,0,99.92,-13.18,4.53,-2.62
99.78,0.01,99.93,99.39,0,99.92,-13.53,4.39,-2.83
99.83,0.01,99.93,91.66,0,99.68,-13.67,3.9,-2.33
99.92,0.01,99.93,99.49,0,99.92,-13.9,3.59,-3.6
99.92,0,99.93,99.18,0,99.92,-14.5,3.86,-3.44
99.91,0,99.93,99.7,0,99.93,-14.59,3.42,-3.74
99.92,0,99.93,99.41,0,99.92,-13.98,3.21,-4.19
99.89,0,99.93,96.9,0,99.88,-12.52,3.4,-4.26
99.87,0,99.93,99.16,0,99.92,-14.41,3.87,-4.75
99.83,0,99.93,75.27,0,94.02,-14.02,4.03,-3.93
99.84,0,99.93,93.84,0,99.79,-15.05,3.8,-3.77
99.79,0,99.93,99.9,0,99.93,-15.22,3.57,-2.87
99.82,0,99.93,99.75,0,99.93,-14.46,3.89,-3.22
99.9,0,99.93,99.95,0,99.93,-16.09,4.44,-2.74
99.94,0.01,99.93,99.89,0,99.93,-15.4,4.58,-2.66
99.97,0.01,99.93,99.95,0,99.93,-15.46,3.79,-2.98
99.98,0.01,99.93,100,0.01,99.93,-15.07,2.96,-3.3
99.99,0.02,99.93,99.94,0,99.93,-15.12,3.24,-1.33
99.99,0.02,99.93,99.95,0,99.93,-16.76,3.47,-0.86
99.99,0.02,99.93,100,0,99.93,-15.56,2.73,-3.33
100,0.02,99.93,99.9,0,99.93,-10.72,3.44,-2.17
100,0.01,99.93,95.04,0,99.83,-12.83,2.55,0.37
100,0.01,99.93,99.99,0,99.93,-9.1,2.97,-4.75
100,0,99.93,99.99,0,99.93,-0.35,3.46,-2.95
100,0,99.93,100,0,99.93,-8.96,4.44,-4.82
100,0,99.93,100,0,99.93,-18.45,5.81,-5.72
99.99,0,99.93,99.99,0,99.93,-15.95,8.19,-5.1
99.98,0,99.92,99.95,0,99.93,-18.76,4.8,-3.2
99.94,0,99.92,99.93,0,99.93,-17.99,2.49,-3.72
99.89,0,99.91,99.96,0,99.93,-16.52,1.52,-4.52
99.86,0,99.92,99.98,0,99.93,-16.6,2.14,-4.71
99.86,0,99.93,99.98,0,99.93,-17.1,4.8,-4.43
99.94,0,99.93,100,0,99.93,-12.74,6.08,-4.73
,,,0,0,0,,,
,,,0,0,0,,,
,,,0,0,0,,,
,,,0,0,0,,,
,,,0,0,0,,,
,,,0,0,0,,,
100,0,99.93,0,0,0,-5.38,-3.7,-23.8
100,0,99.93,100,0,99.93,-19.85,-2.02,-10.19
100,0.01,99.93,100,0.01,99.93,-20.5,-0.26,-9.52
100,0.02,99.93,100,0.01,99.93,-19.18,1.01,-9.44
